Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04 00:00:00-05:00,213.5264020344553,213.9773869360823,206.11875320777628,208.88223266601562,37130100,0.0,0.0
2021-01-05 00:00:00-05:00,208.46963527850713,209.67866493389053,206.97275536366772,209.083740234375,23823000,0.0,0.0
2021-01-06 00:00:00-05:00,203.58552755083278,207.73074590269525,203.36483752901268,203.66229248046875,35930700,0.0,0.0
2021-01-07 00:00:00-05:00,205.37985754212093,210.46542054850582,205.06322234622965,209.45790100097656,27694500,0.0,0.0
2021-01-08 00:00:00-05:00,209.83213069780732,211.6552648790283,208.24889607857534,210.73410034179688,22956200,0.0,0.0
2021-01-11 00:00:00-05:00,209.63065248213846,210.05285231905128,207.96104802927815,208.6903076171875,23031300,0.0,0.0
2021-01-12 00:00:00-05:00,207.74037126573907,208.31610101495866,204.68904166255604,206.23388671875,23249300,0.0,0.0
2021-01-13 00:00:00-05:00,205.36071303589776,207.9898427294301,205.27434332602658,207.5868377685547,20087100,0.0,0.0
2021-01-14 00:00:00-05:00,207.1742691440808,208.66155895915375,204.13252933258465,204.4011993408203,29480800,0.0,0.0
2021-01-15 00:00:00-05:00,204.8809522010558,205.83088727894048,203.45123255832522,204.046142578125,31746500,0.0,0.0
2021-01-19 00:00:00-05:00,205.10163584312352,208.20094535182324,204.0269559335494,207.68280029296875,30480900,0.0,0.0
2021-01-20 00:00:00-05:00,208.89176503174247,216.6544367718072,208.49835028737814,215.2631072998047,37777300,0.0,0.0
2021-01-21 00:00:00-05:00,215.6086111691637,217.1438808555298,213.42086138301298,215.86769104003906,30709400,0.0,0.0
2021-01-22 00:00:00-05:00,217.89229857043895,220.76132783056934,216.66408880322285,216.80801391601562,30172700,0.0,0.0
2021-01-25 00:00:00-05:00,219.84970354500118,220.48300318076255,215.1479654668233,220.2431182861328,33152100,0.0,0.0
2021-01-26 00:00:00-05:00,222.47890098214344,224.7050257283065,220.7709212912737,222.9298858642578,49169600,0.0,0.0
2021-01-27 00:00:00-05:00,228.37046532559663,230.71174470769552,220.8284821455737,223.476806640625,69870600,0.0,0.0
