date,ticker,close,sma_200,drawdown_6m,zscore,buy_score,tier,trend_score,drawdown_score,zscore_score,suggested_buy_usd
2022-02-10,VOO,389.9494934082031,383.3174867248535,-0.05935102780126322,-0.480802829784754,53,DCA_ONLY,1.0,0.4945918983438602,0.1923211319139016,200.0
2022-02-11,VOO,382.1727294921875,383.42500106811525,-0.07811039307366441,-1.0724554443424124,49,DCA_ONLY,0.3,0.6509199422805367,0.42898217773696495,200.0
2022-02-14,VOO,380.9269409179687,383.53819580078124,-0.08111552517852694,-1.1113263806828952,51,DCA_ONLY,0.3,0.6759627098210579,0.4445305522731581,200.0
2022-02-15,VOO,387.0426330566406,383.67790588378904,-0.06636305178961133,-0.5218746885348823,56,BUY,1.0,0.5530254315800944,0.2087498754139529,300.0
2022-02-16,VOO,387.5050659179687,383.83085708618165,-0.06524755605728627,-0.42527727369416296,54,DCA_ONLY,1.0,0.5437296338107189,0.1701109094776652,200.0
2022-02-17,VOO,379.2658996582031,383.9422857666016,-0.0851223434465086,-1.1778870877149359,53,DCA_ONLY,0.3,0.7093528620542383,0.47115483508597433,200.0
2022-02-18,VOO,376.8404235839844,384.02706192016603,-0.09097315647453874,-1.3399047820986023,57,BUY,0.3,0.7581096372878229,0.535961912839441,300.0
2022-02-22,VOO,372.7160949707031,384.0783723449707,-0.10092199738002416,-1.6416491967637103,65,BUY,0.3,0.8410166448335348,0.6566596787054841,300.0
2022-02-23,VOO,366.00579833984375,384.1138786315918,-0.11710879524914986,-2.110156406158127,76,STRONG_BUY,0.3,0.9759066270762489,0.8440625624632508,500.0
2022-02-24,VOO,371.6307067871094,384.19324935913085,-0.10354020639578865,-1.4873656907786155,64,BUY,0.3,0.8628350532982387,0.5949462763114461,300.0
2022-02-25,VOO,379.7471923828125,384.35117279052736,-0.08396135333270272,-0.6233258169193332,46,DCA_ONLY,0.3,0.6996779444391893,0.24933032676773328,200.0
2022-02-28,VOO,378.7940673828125,384.48364013671875,-0.0862605127540701,-0.6806315964787342,48,DCA_ONLY,0.3,0.7188376062839175,0.2722526385914937,200.0
2022-03-01,VOO,373.1124267578125,384.5606579589844,-0.09996595282939347,-1.308252679011308,60,BUY,0.3,0.8330496069116122,0.5233010716045232,300.0
2022-03-02,VOO,379.9642639160156,384.6762321472168,-0.08343772625265067,-0.40003947857641026,43,DCA_ONLY,0.3,0.6953143854387556,0.1600157914305641,200.0
2022-03-03,VOO,378.0578002929687,384.79768600463865,-0.08803656040391372,-0.5987657416656571,47,DCA_ONLY,0.3,0.7336380033659478,0.23950629666626283,200.0
2022-03-04,VOO,375.0000305175781,384.9085221862793,-0.09541261305961124,-0.9415769380674858,54,DCA_ONLY,0.3,0.7951051088300937,0.3766307752269943,200.0
2022-03-07,VOO,363.9295349121094,384.94518356323243,-0.12211722606474706,-2.14052472296638,78,STRONG_BUY,0.3,1.0,0.856209889186552,500.0
2022-03-08,VOO,361.1831359863281,384.96946731567385,-0.12874217973298918,-2.1849209254096325,78,STRONG_BUY,0.3,1.0,0.873968370163853,500.0
2022-03-09,VOO,370.80963134765625,385.02390228271486,-0.10552083153128711,-1.078040527795731,60,BUY,0.3,0.879340262760726,0.4312162111182924,300.0
2022-03-10,VOO,369.1580200195313,385.0738623046875,-0.10950490260852841,-1.2061860825569235,63,BUY,0.3,0.9125408550710701,0.4824744330227694,300.0
