date,ticker,close,sma_200,drawdown_6m,zscore,buy_score,tier,trend_score,drawdown_score,zscore_score,suggested_buy_usd
2021-11-16,VXUS,56.848236083984375,55.58006196975708,-0.013115286271534132,0.713798644620753,29,WAIT,1.0,0.10929405226278444,0.0,0.0
2021-11-17,VXUS,56.71855926513672,55.59829807281494,-0.015366474330502644,0.503009863819663,30,WAIT,1.0,0.1280539527541887,0.0,0.0
2021-11-18,VXUS,56.56295394897461,55.615500831604,-0.018067780799684963,0.2145150991405045,31,WAIT,1.0,0.1505648399973747,0.0,0.0
2021-11-19,VXUS,56.19987487792969,55.62905874252319,-0.024370829227777113,-0.4654209470879247,39,DCA_ONLY,1.0,0.2030902435648093,0.18616837883516987,200.0
2021-11-22,VXUS,55.845428466796875,55.63918514251709,-0.030524014780730968,-1.3103056904464447,52,DCA_ONLY,1.0,0.25436678983942473,0.5241222761785779,200.0
2021-11-23,VXUS,55.81085586547851,55.647309188842776,-0.03112419473538286,-1.7794893743573286,58,BUY,1.0,0.25936828946152385,0.7117957497429315,300.0
2021-11-24,VXUS,55.58609771728515,55.6546498298645,-0.035025993560068525,-2.445518508485971,49,DCA_ONLY,0.3,0.2918832796672377,0.9782074033943884,200.0
2021-11-26,VXUS,53.99544906616211,55.65199506759644,-0.06263963554514296,-4.199747986961965,60,BUY,0.3,0.5219969628761914,1.0,300.0
2021-11-29,VXUS,54.22886276245117,55.649188442230226,-0.05858757650671953,-3.043601702803866,59,BUY,0.3,0.48822980422266277,1.0,300.0
2021-11-30,VXUS,53.86577224731445,55.64333253860474,-0.06489082360411147,-2.904558151742475,61,BUY,0.3,0.5407568633675957,1.0,300.0
2021-12-01,VXUS,53.6064338684082,55.63737121582031,-0.0693929348296487,-2.6851191433201245,63,BUY,0.3,0.5782744569137392,1.0,300.0
2021-12-02,VXUS,54.3153076171875,55.637251720428466,-0.057086894839240454,-1.7805215091648248,50,DCA_ONLY,0.3,0.4757241236603371,0.7122086036659299,200.0
2021-12-03,VXUS,53.926292419433594,55.63365556716919,-0.0638401941237462,-1.939848828958882,54,DCA_ONLY,0.3,0.532001617697885,0.7759395315835528,200.0
2021-12-06,VXUS,54.4536247253418,55.635589141845706,-0.05468571145893397,-1.3575879151805224,44,DCA_ONLY,0.3,0.4557142621577831,0.5430351660722089,200.0
2021-12-07,VXUS,55.499637603759766,55.64207201004028,-0.03652694011994728,-0.4038649418049027,26,WAIT,0.3,0.30439116766622737,0.16154597672196108,0.0
2021-12-08,VXUS,55.62931060791016,55.64911813735962,-0.03427581828407855,-0.26134169828407994,23,WAIT,0.3,0.28563181903398793,0.10453667931363197,0.0
2021-12-09,VXUS,55.2143669128418,55.658982315063476,-0.04147923597879832,-0.5944579392211201,30,WAIT,0.3,0.34566029982331936,0.23778317568844803,0.0
2021-12-10,VXUS,55.300811767578125,55.67298023223877,-0.03997855431131914,-0.47855811870881704,28,WAIT,0.3,0.3331546192609928,0.19142324748352682,0.0
2021-12-13,VXUS,54.62651824951172,55.67786302566528,-0.05168428190087582,-1.0136660229743553,39,DCA_ONLY,0.3,0.43070234917396516,0.4054664091897421,200.0
2021-12-14,VXUS,54.410396575927734,55.68272886276245,-0.055436151627323405,-1.1235915611046778,41,DCA_ONLY,0.3,0.46196793022769506,0.44943662444187116,200.0
2021-12-15,VXUS,54.85992813110352,55.691118698120114,-0.04763228908555228,-0.6857221618328,33,WAIT,0.3,0.3969357423796024,0.27428886473312,0.0
2021-12-16,VXUS,54.92909240722656,55.70325801849365,-0.04643159806074926,-0.5772646275201806,31,WAIT,0.3,0.38692998383957716,0.23090585100807223,0.0
2021-12-17,VXUS,54.34988784790039,55.710544204711915,-0.05648658243838889,-1.0179785217020751,40,DCA_ONLY,0.3,0.47072152031990744,0.40719140868083004,200.0
2021-12-20,VXUS,53.98215866088867,55.718757190704345,-0.06287035682529374,-1.257034211004253,46,DCA_ONLY,0.3,0.5239196402107812,0.5028136844017012,200.0
2021-12-21,VXUS,54.701805114746094,55.72652658462525,-0.05037730280068753,-0.5687745453370973,33,WAIT,0.3,0.4198108566723961,0.2275098181348389,0.0
2021-12-22,VXUS,55.19327163696289,55.73603002548218,-0.041845449721402694,-0.06610539189333019,23,WAIT,0.3,0.34871208101168916,0.026442156757332073,0.0
2021-12-23,VXUS,55.50043487548828,55.743325290679934,-0.03651309949206216,0.26091559227583716,21,WAIT,0.3,0.30427582910051804,0.0,0.0
2021-12-27,VXUS,55.904144287109375,55.75349000930786,-0.02950470882663192,0.7039334559876262,36,DCA_ONLY,1.0,0.245872573555266,0.0,200.0
2021-12-28,VXUS,55.842716217041016,55.762794494628906,-0.0305710994047802,0.7241739352053062,36,DCA_ONLY,1.0,0.2547591617065017,0.0,200.0
2021-12-29,VXUS,55.7900505065918,55.77119747161865,-0.03148537552239261,0.7526403460843212,36,DCA_ONLY,1.0,0.26237812935327176,0.0,200.0
2021-12-30,VXUS,55.86904525756836,55.77888925552368,-0.030114027569073887,0.9283008065997783,36,DCA_ONLY,1.0,0.2509502297422824,0.0,200.0
2021-12-31,VXUS,55.7900505065918,55.789376964569094,-0.03148537552239261,0.9200672891183844,36,DCA_ONLY,1.0,0.26237812935327176,0.0,200.0
2022-01-03,VXUS,56.149871826171875,55.800302295684816,-0.025238881621639453,1.4320851946713298,34,WAIT,1.0,0.21032401351366212,0.0,0.0
2022-01-04,VXUS,56.22007751464844,55.811600017547605,-0.024020111690555845,1.520281034364336,34,WAIT,1.0,0.20016759742129872,0.0,0.0
2022-01-05,VXUS,55.65840530395508,55.82418371200561,-0.033770734700924177,0.8066997791388452,20,WAIT,0.3,0.28142278917436814,0.0,0.0
2022-01-06,VXUS,55.50043487548828,55.838835124969485,-0.03651309949206216,0.6208450884200382,21,WAIT,0.3,0.30427582910051804,0.0,0.0
2022-01-07,VXUS,55.74616241455078,55.85300918579102,-0.032247272287069695,0.9326284344445892,19,WAIT,0.3,0.26872726905891414,0.0,0.0
2022-01-10,VXUS,55.33368682861328,55.860770568847656,-0.03940784363613559,0.3434406932326922,22,WAIT,0.3,0.32839869696779656,0.0,0.0
2022-01-11,VXUS,56.1235466003418,55.87397401809692,-0.025695887234245873,1.3172436748845822,34,WAIT,1.0,0.2141323936187156,0.0,0.0
